"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"de Jong K",GCST004800,2017-07-24,"Respir Res","Genes and pathways underlying susceptibility to impaired lung function in the context of environmental tobacco smoke exposure.","Forced expiratory volume in 1 second (environmental tobacco smoke interaction)","forced expiratory volume, environmental tobacco smoke exposure measurement",'-,"10817 European","1276 NR1156 European",3,NA
"Forno E",GCST004107,2017-02-04,"J Allergy Clin Immunol","Genome-wide interaction study of dust mite allergen on lung function in children with asthma.","Lung function (FEV1) in asthma (dust mite allergen exposure interaction)","forced expiratory volume, allergen exposure measurement",asthma,"440 Hispanic or Latin American","605 Hispanic or Latin American497 European",5,NA
"Lutz SM",GCST003263,2015-12-03,"BMC Genet","A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.","Post bronchodilator FEV1 in COPD","forced expiratory volume, response to bronchodilator","chronic obstructive pulmonary disease","5439 European821 African American or Afro-Caribbean",'-,124,NA
"Lutz SM",GCST003262,2015-12-03,"BMC Genet","A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.","Post bronchodilator FEV1","forced expiratory volume, response to bronchodilator",'-,"10094 European3260 African American or Afro-Caribbean178 NR",'-,1182,NA
"Wain LV",GCST008666,2015-09-27,"Lancet Respir Med","Novel insights into the genetics of smoking behaviour, lung function, and chronic obstructive pulmonary disease (UK BiLEVE): a genetic association study in UK Biobank.","Lung function (low FEV1 vs high FEV1) x smoking interaction","smoking status measurement, forced expiratory volume",'-,"29301 European",'-,15,NA
"Goddard PC",GCST011799,2020-09-29,"Genet Epidemiol","Integrative genomic analysis in African American children with asthma finds three novel loci associated with lung function. ","Post-bronchodilator lung function in asthma (FEV1)","forced expiratory volume, response to bronchodilator",asthma,"107 African American or Afro-Caribbean",'-,8,NA
"Ierodiakonou D",GCST008272,2019-04-26,"J Expo Sci Environ Epidemiol","Pathway analysis of a genome-wide gene by air pollution interaction study in asthmatic children.","Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma","522 European",'-,6,NA
"Ierodiakonou D",GCST008273,2019-04-26,"J Expo Sci Environ Epidemiol","Pathway analysis of a genome-wide gene by air pollution interaction study in asthmatic children.","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma","522 European","88 African American or Afro-Caribbean",6,NA
"Imboden M",GCST001444,2012-03-15,"J Allergy Clin Immunol","Genome-wide association study of lung function decline in adults with and without asthma.","Pulmonary function decline","forced expiratory volume, FEV/FEC ratio",'-,"4118 European","12018 European",39,NA
"Tang W",GCST002517,2014-07-01,"PLoS One","Large-scale genome-wide association studies and meta-analyses of longitudinal change in adult lung function.","Rate of change of FEV1 (time interaction)","FEV change measurement, forced expiratory volume",'-,"27249 European","5578 NR",0,NA
"Fawcett KA",GCST90014240,2020-06-01,"Wellcome Open Res","Variants associated with <i>HHIP</i> expression have sex-differential effects on lung function.","Forced expiratory volume in 1 second x sex interaction","sex interaction measurement, forced expiratory volume",'-,"303612 European","75696 European, NR",0,"FTP Download"
"Zhu Z",GCST90054786,2021-03-25,"Eur Respir J","A large-scale genome-wide association analysis of lung function in the Chinese population identifies novel loci and highlights shared genetic etiology with obesity.","Lung function (FEV1) and body mass index","forced expiratory volume, body mass index",'-,"100285 East Asian","457756 European",7,NA
"Zhu Z",GCST90054787,2021-03-25,"Eur Respir J","A large-scale genome-wide association analysis of lung function in the Chinese population identifies novel loci and highlights shared genetic etiology with obesity.","Lung function (FEV1) and waist to hip ratio adjusted for BMI","BMI-adjusted waist-hip ratio, forced expiratory volume",'-,"100285 East Asian","457756 European",5,NA
"Zhu Z",GCST90054788,2021-03-25,"Eur Respir J","A large-scale genome-wide association analysis of lung function in the Chinese population identifies novel loci and highlights shared genetic etiology with obesity.","Lung function (FEV1) and waist circumference adjusted for BMI","BMI-adjusted waist circumference, forced expiratory volume",'-,"100285 East Asian","457756 European",7,NA
"Xu J",GCST008101,2018-09-10,"Am J Respir Crit Care Med","Omega-3 Fatty Acids and Genome-wide Interaction Analyses Reveal DPP10-Pulmonary Function Association.","Pulmonary function (FEV1) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)","forced expiratory volume, docosapentaenoic acid measurement",'-,"797 African unspecified11165 European","546 African unspecified1141 European",0,NA
"Xu J",GCST008102,2018-09-10,"Am J Respir Crit Care Med","Omega-3 Fatty Acids and Genome-wide Interaction Analyses Reveal DPP10-Pulmonary Function Association.","Pulmonary function (FEV1) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)","docosahexaenoic acid measurement, forced expiratory volume",'-,"797 African unspecified11165 European","1141 European546 African unspecified",0,NA
"Brehm JM",GCST003110,2015-09-01,"Am J Respir Crit Care Med","A Genome-Wide Association Study of Post-bronchodilator Lung Function in Children with Asthma.","Post-bronchodilator lung function in asthma (FEV1)","pulmonary function measurement, forced expiratory volume, response to bronchodilator",asthma,"447 Hispanic or Latin American","568 European, Hispanic or Latin American, African unspecified2414 Hispanic or Latin American",0,NA
"de Jong K",GCST002955,2015-06-05,"J Allergy Clin Immunol","Genome-wide interaction study of gene-by-occupational exposure and effects on FEV1 levels.","Forced expiratory volume in 1 second (occupational environmental exposures interaction)","response to biological dust exposure, response to gases and fumes exposure, forced expiratory volume, response to mineral dust exposure",'-,"12400 NR","1436 NR",7,NA
"Yao TC",GCST002113,2013-08-06,"J Allergy Clin Immunol","Genome-wide association study of lung function phenotypes in a founder population.","Pulmonary function","pulmonary function measurement, forced expiratory volume, FEV/FEC ratio, vital capacity",'-,"1144 European",'-,7,NA
